Date,Mkt_Prem,SMB,HML,RMW,CMA,RF
2021-08-09,0.01,-0.45,-0.26,-0.63,-0.54,0
2021-08-10,0.06,0.38,1.82,0.71,0.9,0
2021-08-11,0.19,0.3,1.41,0.89,0.5,0
2021-08-12,0.24,-0.69,-0.4,0.06,0.11,0
2021-08-13,0,-0.95,-0.25,0.7,-0.01,0
2021-08-16,-0.05,-0.87,0.05,1.66,0.16,0
2021-08-17,-0.8,-0.5,-0.11,-0.29,0.1,0
2021-08-18,-0.95,0.12,-0.19,-0.31,-0.67,0
2021-08-19,-0.15,-0.96,-0.82,1.39,-0.47,0
2021-08-20,0.92,0.86,-0.49,-0.37,-0.28,0
2021-08-23,1.08,0.76,-0.85,-1.84,-0.07,0
2021-08-24,0.41,0.41,0.36,-0.73,0.08,0
2021-08-25,0.26,0.06,0.36,-0.43,-0.01,0
2021-08-26,-0.65,-0.44,-0.32,-0.05,-0.16,0
2021-08-27,1.07,1.65,0.3,-0.71,0.14,0
2021-08-30,0.35,-0.69,-1.37,0.67,0.13,0
2021-08-31,-0.13,0.46,-0.05,-0.45,-0.22,0
2021-09-01,0.11,0.4,-0.94,-0.43,-0.36,0
2021-09-02,0.36,0.2,-0.04,-0.43,0.58,0
2021-09-03,-0.01,-0.55,-0.26,0.04,-0.27,0
2021-09-07,-0.36,-0.36,-0.09,-0.6,0.17,0
2021-09-08,-0.34,-0.75,0.08,0.76,0.18,0
2021-09-09,-0.27,0.26,0.09,-0.79,-0.31,0
2021-09-10,-0.76,-0.03,0.02,0.22,-0.48,0
2021-09-13,0.14,0.23,1.34,0.22,0.98,0
2021-09-14,-0.66,-0.67,-0.97,0.43,-0.47,0
2021-09-15,0.88,0.13,0.63,-0.25,0.47,0
2021-09-16,-0.03,-0.09,-0.55,-0.4,-0.55,0
2021-09-17,-0.72,0.98,-0.05,-0.64,-0.44,0
2021-09-20,-1.87,-0.58,0.23,0.77,0.27,0
2021-09-21,0.05,0.26,-0.67,-0.44,-0.32,0
